City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ca Mau,VN,88.47,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
2,Rikitea,PF,78.08,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Soe,ID,80.31,broken clouds,-9.8607,124.284,Dena Hotel
26,Eldorado,BR,76.08,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
27,Esperance,AU,79.16,clear sky,-33.8667,121.9,Hospitality Esperance
29,Kapaa,US,76.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Alofi,NU,75.09,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
38,Poso,ID,85.3,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
44,Hervey Bay,AU,87.04,light rain,-25.2986,152.8535,Shelly Bay Resort
45,Mahebourg,MU,80.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
51,Phangnga,TH,86.83,clear sky,8.4509,98.5298,Sunimit Mansion
54,Port-Gentil,GA,79.63,overcast clouds,-0.7193,8.7815,Fengshui Residence
56,Ambilobe,MG,75.36,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
60,Mount Isa,AU,83.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
67,Arraial Do Cabo,BR,75.38,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
71,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
74,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Atuona,PF,79.0,clear sky,-9.8,-139.0333,Villa Enata
81,Cururupu,BR,75.47,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
85,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
86,Kieta,PG,80.06,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
87,Bubaque,GW,77.11,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
89,Kalmunai,LK,77.11,clear sky,7.4167,81.8167,VS Villa
93,Cockburn Town,TC,75.78,clear sky,21.4612,-71.1419,Osprey Beach Hotel
94,Sola,VU,80.6,overcast clouds,-13.8833,167.55,Leumerus Bungalows
97,Champerico,GT,80.35,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
100,Vao,NC,75.15,light rain,-22.6667,167.4833,Hotel Kou-Bugny
106,Progreso,MX,80.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
110,Puerto Ayora,EC,75.54,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
115,Mareeba,AU,83.12,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
118,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
