City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ca Mau,VN,9.1769,105.15,88.47,50,35,17.94,scattered clouds
1,Along,IN,28.1667,94.7667,59.45,60,35,1.68,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,78.08,74,100,18.41,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,42.46,70,75,18.41,broken clouds
4,Chuy,UY,-33.6971,-53.4616,72.16,94,100,7.54,light rain
5,Chifeng,CN,42.2683,118.9636,12.9,36,1,15.7,clear sky
6,Yar-Sale,RU,66.8333,70.8333,-2.74,98,99,5.08,overcast clouds
7,Carauari,BR,-4.8828,-66.8958,73.0,98,74,1.86,heavy intensity rain
8,Sumbe,AO,-11.2061,13.8437,73.63,82,94,4.76,overcast clouds
9,La Ronge,CA,55.1001,-105.2842,-14.58,70,0,10.36,clear sky
10,Soe,ID,-9.8607,124.284,80.31,59,77,8.48,broken clouds
11,Hamilton,US,39.1834,-84.5333,24.98,91,100,4.0,mist
12,Tasiilaq,GL,65.6145,-37.6368,12.36,60,85,6.13,overcast clouds
13,Hobart,AU,-42.8794,147.3294,72.01,47,11,1.01,few clouds
14,Bereda,ES,43.2686,-7.5406,50.0,90,100,2.64,overcast clouds
15,Hilo,US,19.7297,-155.09,74.93,80,100,9.22,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,60.91,72,100,9.33,overcast clouds
17,Portland,US,45.5234,-122.6762,45.84,93,20,1.01,few clouds
18,Hasaki,JP,35.7333,140.8333,46.29,57,100,8.55,overcast clouds
19,Barrow,US,71.2906,-156.7887,-25.58,68,100,3.44,haze
20,Qaanaaq,GL,77.484,-69.3632,-13.45,56,99,8.46,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,42.91,61,75,10.36,broken clouds
22,Skibbereen,IE,51.55,-9.2667,42.12,72,100,15.32,overcast clouds
23,Pangnirtung,CA,66.1451,-65.7125,-13.88,99,100,4.03,light snow
24,Zhongshu,CN,24.5167,103.7667,41.85,90,100,4.0,overcast clouds
25,Cape Town,ZA,-33.9258,18.4232,62.28,72,22,4.0,few clouds
26,Eldorado,BR,-23.7869,-54.2836,76.08,98,100,6.93,overcast clouds
27,Esperance,AU,-33.8667,121.9,79.16,46,2,9.04,clear sky
28,Jamestown,US,42.097,-79.2353,23.09,69,100,10.0,snow
29,Kapaa,US,22.0752,-159.319,76.12,66,0,1.01,clear sky
30,Lincoln,US,40.8,-96.667,12.16,48,0,0.0,clear sky
31,Mataura,NZ,-46.1927,168.8643,52.48,99,100,2.84,light rain
32,Alofi,NU,-19.0595,-169.9187,75.09,94,100,5.75,light intensity shower rain
33,Morehead,US,37.2711,-87.1764,27.99,95,100,3.0,overcast clouds
34,Albany,US,42.6001,-73.9662,38.19,91,100,1.99,snow
35,Castro,BR,-24.7911,-50.0119,64.47,98,100,5.01,overcast clouds
36,Marzuq,YE,14.4,46.4667,57.87,30,5,3.06,clear sky
37,Port Elizabeth,ZA,-33.918,25.5701,66.49,77,0,12.66,clear sky
38,Poso,ID,-1.3959,120.7524,85.3,61,99,3.96,overcast clouds
39,Nikolskoye,RU,59.7035,30.7861,1.29,100,100,2.77,overcast clouds
40,Port Alfred,ZA,-33.5906,26.891,69.89,74,97,15.95,overcast clouds
41,Dese,ET,11.1333,39.6333,48.47,47,46,1.54,scattered clouds
42,Mandalgovi,MN,45.7625,106.2708,8.44,65,63,11.23,broken clouds
43,Busselton,AU,-33.65,115.3333,98.04,33,57,15.95,broken clouds
44,Hervey Bay,AU,-25.2986,152.8535,87.04,70,84,15.99,light rain
45,Mahebourg,MU,-20.4081,57.7,80.26,88,99,21.43,light rain
46,Mar Del Plata,AR,-38.0023,-57.5575,69.1,94,100,0.0,fog
47,Nanortalik,GL,60.1432,-45.2371,26.46,95,100,12.82,snow
48,Kaniama,CD,-7.5667,24.1833,63.48,99,100,2.86,overcast clouds
49,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,82,100,11.43,overcast clouds
50,Tahara,JP,34.6667,137.2667,49.01,50,64,17.65,broken clouds
51,Phangnga,TH,8.4509,98.5298,86.83,54,10,5.17,clear sky
52,Kungurtug,RU,50.5994,97.5228,-5.94,95,82,1.01,broken clouds
53,Muros,ES,42.7762,-9.0603,53.24,94,100,5.44,overcast clouds
54,Port-Gentil,GA,-0.7193,8.7815,79.63,79,100,6.89,overcast clouds
55,College,US,64.8569,-147.8028,2.86,54,40,9.22,scattered clouds
56,Ambilobe,MG,-13.2,49.05,75.36,93,97,6.93,light rain
57,Victoria,HK,22.2855,114.1577,61.18,77,67,1.99,broken clouds
58,Maneadero,MX,31.7167,-116.5667,52.11,67,0,5.01,clear sky
59,Todos Santos,MX,23.45,-110.2167,67.01,59,14,12.75,few clouds
60,Mount Isa,AU,-20.7333,139.5,83.97,32,100,11.5,overcast clouds
61,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,75,8.05,light snow
62,Usinsk,RU,65.9939,57.5281,14.72,96,100,8.01,overcast clouds
63,Kargasok,RU,59.0556,80.8572,14.79,89,100,13.0,overcast clouds
64,Bethel,US,41.3712,-73.414,48.94,93,100,6.91,light rain
65,Qujing,CN,25.4833,103.7833,45.41,76,100,6.91,overcast clouds
66,Litovko,RU,49.2361,135.1742,-3.64,93,98,0.63,overcast clouds
67,Arraial Do Cabo,BR,-22.9661,-42.0278,75.38,91,100,9.24,overcast clouds
68,Ginda,IN,30.6945,78.4932,34.77,85,98,2.71,overcast clouds
69,Iskateley,RU,67.6803,53.1512,3.92,97,100,3.47,overcast clouds
70,Bluff,NZ,-46.6,168.3333,52.81,84,100,3.29,light rain
71,Cabedelo,BR,-6.9811,-34.8339,79.47,75,99,12.73,overcast clouds
72,Christchurch,NZ,-43.5333,172.6333,64.9,85,75,1.99,light rain
73,Sabzevar,IR,36.2126,57.6819,36.68,65,40,11.5,scattered clouds
74,Saint-Philippe,RE,-21.3585,55.7679,80.15,92,100,32.41,moderate rain
75,Fujisawa,JP,35.3419,139.47,49.15,31,98,8.1,overcast clouds
76,Atuona,PF,-9.8,-139.0333,79.0,72,4,17.02,clear sky
77,Senanga,ZM,-16.1167,23.2667,65.39,95,97,2.48,light rain
78,Eyl,SO,7.9803,49.8164,68.38,73,1,10.11,clear sky
79,Voznesenye,RU,61.0106,35.4781,-10.55,100,100,2.62,overcast clouds
80,Lebu,CL,-37.6167,-73.65,59.52,92,13,13.76,few clouds
